user_name,text,place_name,country
crespo212,@yoliluke Yo los he cobrado. Y no llamo a Iglesias,Valencia,ES
recaredo126,"Hay un video de Pablo Iglesias en el super comprando sin guantes, mascarillas ¿sabéis por qué no tiene miedo de infectarse?",Torrejón de Ardoz,ES
CamaradaMeliton,@queridojavier Tendemos a pensar que los ciudadanos somos niños. No es así. Somos adultos y debemos ser responsable… https://t.co/5ai7V2XKku,Las Rozas de Madrid,ES
Charo74081601,El 2 de mayo hay que salir pero para echar esta jentuza del gobierno,L'Hospitalet de Llobregat,ES
AbrahamBiologia,".@EsperanzAguirre en @LiarlaPardo: cuando acabó la segunda guerra mundial se formo un gobierno de concentración, po… https://t.co/bKg9HEIFDL",Priego de Córdoba,ES
AbrahamBiologia,".@EsperanzAguirre en @LiarlaPardo: podemos tiene casi la mitad de diputado que @vox_es, @sanchezcastejon debe llama… https://t.co/cXZVXFmu4a",Priego de Córdoba,ES
lohellin,"@carlesenric @AlmeidaPP_ Es de la misma calaña que el gobierno central. Que esperan de ella. Lo de siempre, no dar… https://t.co/2KeBZ41N59",Alcantarilla,ES
iAssistant4EMEA,@smeeplo Totalmente de acuerdo!Al gobierno les conviene tenernos en los balcones porque si nos presentamos todos en… https://t.co/SOI1ukGfMf,Madrid,ES
Cencreas,@GirautaOficial Pues no. No nos podíamos haber adelantado sin depender del Gobierno de la Comunidad de Madrid. Por… https://t.co/4A1AqS07zE,Salamanca,ES
JorgeYatale65,Lo que hay que hacer para hablar de este  gobierno sin mencionarlo jeje,Alicante,ES
IvanFdz13,"@ManoloMontalt Estos del Gobierno buscan agarrarse a algún clavo ardiendo y no saben como, me parece que tienen mie… https://t.co/zAjBZWRnKm",Paterna,ES
iAssistant4EMEA,@ldpsincomplejos Hasta el coño de cacerolada en balcones!Vamos al Congreso a sacarlos de los pelos!!,Madrid,ES
lewiscott888,"@morgan_1967 Culpables los gobiernos que han gobernado este país desde el inicio de la democracia, este gobierno so… https://t.co/u7g1iNHPIJ",Madrid,ES
JavierAbascal1,@pabquicar @MisterMecha Pablo Iglesias asesino... Sánchez homicida.....,Sevilla,ES
SergioNieto9,"Pero nada despues que si caceroladas, aplausos, pedro sanchez dimision, y la culpa del resto... 
No pidais despues… https://t.co/BnxQja3kY6",Mairena del Aljarafe,ES
Virginialaraleo,@Luisinagh @maryvarelaGH Ayer decían que era una de vox,Marbella,ES
Akikonaj,@RugbyProo @natiquiro @tenoriopop Lo bueno que has cambiado el original donde ponia PP,Manresa,ES
enrosinat,"La concejala de VOX de Sant Joan decide irse a la playa a 3 km. de su domicilio (infracción n⁰ 1), y acompañada de… https://t.co/zDzyP3sbVK",Alicante,ES
risk__risk,@raimundoabando Pablo Iglesias ahora sí estará de luto.,Madrid,ES
marcvidal,"de los 100.000 millones en avales que anunció el gobierno al principio de la crisis sanitaria y económica, sólo se… https://t.co/y4opA3PIaq",San Sebastián de los Reyes,ES
gervg_,Dentro de 15 días algun@s van a volver a criticar al gobierno por la gestión del Covid19; tal vez l@s mism@s que ho… https://t.co/FrrCcLBKr8,Barcelona,ES
rodillo3,"@CoherenciaROC @LiarlaPardo @cristina_pardo @laSextaTV Efectivamente, @laSextaTV vocero del gobierno siempre tratan… https://t.co/1hydwsPH6b",Sevilla,ES
Soypatita,"@RosaMariaPaya @hermanntertsch @MonederoJC 
Este es el plan de gobierno que tienen estos dos .: https://t.co/dwPwyMmw0K",Majadahonda,ES
Alejand30423810,"Esta izquierda que critica las lágrimas de Ayuso, es la misma que lloraba por el perro Excalibur y mira para otro l… https://t.co/A2adaVcDQd",Mérida,ES
JAFrias,"@jhergony Estoy esperando que el Gobierno haga como el de Nueva Zelanda, bajarse el sueldo un 20%.",Madrid,ES
lewiscott888,"@Unachicadedere1 Q llegará este señor al Gobierno es una cuestión de voto aunque no comparta ni si estilo, ni su ve… https://t.co/TUoPz5iJ6B",Madrid,ES
laiaiorri,Esperanza Aguire  como dejasteis el gobierno  recortanto  durante muchos años los presupuestos de la sanidad  ¿a quien pretendes engañar?,Badalona,ES
enrosinat,"La concejala de VOX de Sant Joan d'Alacant, Gema Alemán, decide irse a la playa a 3 km. de su domicilio (infracción… https://t.co/8aJi0wdDiy",Alicante,ES
iAssistant4EMEA,He visto niños que ya quieren volver a cenar a sus casas...La cacerolada la voy a hacer en la puerta del congreso a… https://t.co/7XKpRubwD5,Madrid,ES
CarlosL13101256,"@PilarHLuc @sanchezcastejon Rajoy de paseo, Casado de Campaña Electoral haciendo visitas, Ayuso a Misa, que ejemplo… https://t.co/L7IOwQRKV3",Zamora,ES
JesusRuiperez1,Lo q causa terror a la derecha no es el sufrimiento asociado a la crisis. Ni el dolor q padecen los.q fallecen en s… https://t.co/OYif5mwz7u,Salamanca,ES
Raquel_Mateor,"@FPgrv En Corea no ha habido confinamiento.
En China, con ese gobierno, están los ciudadanos como para desobedecer,… https://t.co/FWYrq0DA5g",Valladolid,ES
TxetxuSanz,"@jordi_ballart Me gustaría saber qué dudas le plantea a nuestro alcalde las normas del gobierno que, aunque no en s… https://t.co/3cwj4nelf7",Terrassa,ES
belenllaves,"@Viki_Ortiz @EnfermeraPirada @MJdeMarcosU Si no salen, el gobierno lo hace mal, si salen, también. Hay que cumplir… https://t.co/MEHkcLxqdY",Madrid,ES
iAssistant4EMEA,@TirsodeFaulkner Tampoco podemos hacerlo con Franco de nuestros embalses...,Madrid,ES
ricxjo26,Espera que no haya rebote en una semana y justo cuando podemos salir a pasear no nos digan de nuevo que a quedarse… https://t.co/6c4mz26NvG,Villarejo de Salvanés,ES
iu_teruel,@TeruelMemes Luego dirán que la culpa del gobierno cuando no pueden ser responsables mi diez días,Teruel,ES
jelogaco,"La picaresca española,no es responsable,pero el gobierno si es responsable de su incompetente gestión. Se sabía que… https://t.co/cy7p7B1dSJ",Mislata,ES
joaquin78893341,@pacomarhuenda Tu de verdad crees que Casado (Aznar) quiere arrimar el hombro? o eres un ingenuo o quieres que caig… https://t.co/7JNpI83CcG,Tomares,ES
iAssistant4EMEA,@RevillaMiguelA Lleve nuestros aplausos al Congreso y que dejen decidir a las autonomías cómo gestionar la salida ya.Queremos trabajar!,Madrid,ES
JesusRuiperez1,El órgano de gobierno presidido por Carlos Lesmes evidencia la piel fina con un Gobierno de Podemos mientras mostró… https://t.co/XayQy9mQel,Salamanca,ES
Manuelc55390307,@novedadesaereas A ver si poco a poco se va normalizando la situación y podemos volver a trabajar tod@s.✈✈✈👍👍👍,Barcelona,ES
DavidVisus,@voxbonanova @miguel230874 Yo no creo haber creído de verdad en un Gobierno nunca en mi vida. ¿Y tú @miguel230874?… https://t.co/YF8h5SMuRD,Zaragoza,ES
CHACHE_DIONI,@Cazatalentos O el Gobierno ...,Hoya-Gonzalo,ES
Flordelima17,@Adolfo_Villalba Por qué el Gobierno quiere mentir sobre los muertos!!!!,Nigrán,ES
JesusRuiperez1,El órgano de gobierno le poder judicialpresidido por Carlos Lesmes evidencia la piel fina con un Gobierno de Podemo… https://t.co/QEN1PFODzj,Salamanca,ES
Mikiriver,"@taviralber Si salimos como dice el Gobierno los niños llegan muertos. 

Sin mascarillas. Que es para el que esta malo.",Murcia,ES
CB_Josee,"@pablocasado_ https://t.co/u7eP0vHcxL
Casado en un principio te creí. Lo compartí. Me debatieron y me demostraron q… https://t.co/wgOGwlCmSb",La Bañeza,ES
Sobrino_Alvaro,"Si te saltas la ley es culpa del Gobierno.
Aunque TODOS los partidos políticos han apoyado la medida del gobierno m… https://t.co/f3nkYkZoZ1",Bolaños de Calatrava,ES
JesusRuiperez1,"Ni el PP ni Vox van a tumbar a este Gobierno

Pedro Sánchez sigue y seguirá contando con la mayoría justita que tie… https://t.co/VBIbb90dzb",Salamanca,ES
carlosfalm,PERO QUE CULPA TENDRÁ EL GOBIERNO DE GENTE CON FALTA DE COMPROMISO Y CIVISMO.... acuéstese impresentable,Zalamea la Real,ES
angeeles013,Iglesias no usa mascarilla en el supermercado pese a haber estado en contacto con varios positivos: https://t.co/eJxFgizSbx,Palma,ES
DanyelATH13,El Gobierno ya puede echar la culpa de los próximos contagios a los ciudadanos. Jugada maestra de Pedro Sánchez.… https://t.co/WsIR5szAfe,Alcorcón,ES
MTrujilloBerges,"@Chesusandres Como siempre, que cada palo aguante su vela. Error del Gobierno por levantar restricciones e impruden… https://t.co/UiJVxFVwrT",Barcelona,ES
CarlosL13101256,"@JesusCintora Dónde está hoy la Policía, por culpa de estos Irresponsables nos van a Confinar más tiempo a todos los Ciudadanos",Zamora,ES
JesusRuiperez1,"r al coronavirus, sino al PSOE”

El locutor de radio censuró la actitud del líder del PP al q  califica a  como “in… https://t.co/BNzwyLNXDp",Salamanca,ES
javihino_,"@Alex4Rodriguez Ale el problema no es que el  gobierno  te diga que te tires por la ventana,sino  que te dice que t… https://t.co/ypcRPBo68Y",Elche,ES
lorenpower2000,"#subnormales cuando la culpa es de la gente, de la gente? El gobierno sigue jugando su partida. Ellos saben muy bie… https://t.co/ISz9lt3OHc",Isla Cristina,ES
